id,title,description,ticket_url,ticket_price,ticket_tier,free_event,food_available,indoor_outdoor,age,promoter,manual_artist_names,event_image_url,dice_url,,,
579,SUBSONIC (Alternative School presents),"On Saturday, May 23, Alternative School presents SUBSONIC at Northern Lights Lounge, headlined by the architect of Acid House, the legendary DJ Pierre. This night is a deep dive into the raw soul of the genre and a sound that remains a significant, defining moment in electronic music history.

The foundation of this sound traces back to mid 1980s Chicago and the Roland TB 303. Pierre and the group Phuture—joined by Earl Spanky Smith Jr. and Herbert Herb J Jackson—famously reimagined the machine. They took a bass synthesizer originally designed to emulate a real bass guitar and pushed it past its intended limits. By twisting the resonance and cutoff knobs until the hardware literally screamed, they birthed the liquid, psychedelic squelch of Acid Tracks. That curiosity proved that by seeing a machine in a different way, you could create an entirely new reality for the dancefloor.

DJ Pierre brings his Wild Pitch and Afro Acid philosophy to the booth, joined by a heavy hitting roster: Duck Trash, Father Dukes, Garrison XR, MGUN, Posthuman, Ryan Spencer, Sneaker, and a live set from Wetdogg.

SUBSONIC brings these forces together at Northern Lights Lounge for a night rooted in the true spirit of the craft.",,50,2nd wave,,,,,,,https://images.ra.co/d1c439468a9e46c49462fa0f567e2c45b8ae8222.jpg,,,,
580,Detroit Techno Militia x Techno Snob,"Detroit Techno Militia and Techno Snob link up for a night rooted in the city that started it all. No hype cycles, no nostalgia grabs...just the sound of Detroit techno played by the people who live it, build it, and keep it moving forward.

This isn’t about exclusivity. It’s about community, culture, and the shared language of drum machines, and late-night dance floors. From small basements to global clubs, Detroit has always influenced the world without asking for permission. This night honors that tradition.

Expect tightly curated sets from selectors and artists who know how to read a room, stretch a groove, and tell a story without saying a word. Deep cuts, future classics, unreleased heat, hardware workouts… the kind of thing that reminds you why Detroit still matters in 2026 and beyond.

Whether you’re a lifer or stepping into the scene for the first time, you’re welcome here. Come dressed to sweat.

No gimmicks. No dress code. No VIP ropes. Just music, connection, and a room full of people who understand why techno still hits hardest when it’s close to the source.

Detroit Techno Militia _ Techno Snob Detroit.
All night. All techno.",,20,cash at door,,,,21+,,,https://images.ra.co/bc2a4482a66f0cba2491a75c43589bc53df6ec68.png,,,,
581,RAVEHOUSE,"Start your morning right with some tech house, uk garage, and high energy dance music. Sevag H and FrankJavCee go B2B for the first time, with ARCS and Sam Haux bringing tech house and techno sounds to kick off the party.",,8.55,Tier 1,,,,,,,https://images.ra.co/fbb5cee1fefcec6ebee6d717cf96fc3712778648.png,,,,
582,DETROIT TRANSMISSION,"May 23rd from 2pm to 2am
Location via (313) 513-RAVE on the day

---

To identify the patterns, links, dissonances; each apparatus possesses its own little music, which must be put slightly out of tune, incidentally distorted, pushed to decay, to destruction, to become unhinged. Those who flow into the apparatus don’t notice the music, their steps stick too close to the rhythm to hear it distinctly. For the latter, another temporality is needed, a specific rhythmicity, so that, although we enter the apparatus, we remain attentive to the prevailing norm. That is what the thief, the criminal learns: to unsync internal and external tempos, to split, to layer one’s conscience, being at once mobile and static, on the lookout and deceptively static... To turn the imposed schizophrenia of self-control into an offensive conspiratorial instrument.

---

Ticker tiers are demographic based. Tranny for all trans people, SE Michigan for ""locals"", Import for all others. Residency may be verified at the door.

Please carpool or ride share to the event. Parking is highly limited. Do not park on the street or we will not let you in.

No phones. No cameras. No trackers. Anywhere in the party. Turn your phone off and keep it in your pocket. Be present, don't be vain, and keep our community safe.

Help us reduce our footprint. Bring your own reusable cup. Clean up after yourself. Be responsible.",,20,TRANNY,,,,21+,,,https://images.ra.co/32de6917b969fba5083e6e4d1270f8c48ed64980.png,,,,
583,No Way Back,,,249.7,3rd release,,,,,,,https://images.ra.co/f8467e7869d0f81cc0a26e07a2bc593ffe612f23.jpg,,,,
584,OBSERVE // SCENE // 2026,,,87.6,Final release,,,,,,,https://images.ra.co/a3e3abe88db59ec74d1d455b3f110b5a36a18dbc.jpg,,,,
585,Theo Parrish at Dreamtroit,,,74.3,3rd release,,,,,,,https://images.ra.co/21f78d05980761141c62c46d59284c030a76fa8c.jpg,,,,
586,10 Years of Texture - Sunday,"During Movement Festival Weekend, Texture returns to Marble Bar to celebrate its 10-year anniversary with a two-day sonic journey in psychedelic club sounds; where dub mutates into leftfield electronics, and electro shakes hands with bass. A continuum built for deep listening and full-body presence.

Over the past decade, what began as an experiment in personal expression has evolved into a platform for exploration.

How can we combine sound design, temporary spatial architecture, and light design recalibrate the body?
How can a room become an instrument?
How can creating conditions with no defined outcomes leave space for new potentials?

Detroit-based light artist Patrick Ethen is back to reshape Marble Bar into an environment of controlled disorientation.

Ten years in, the core remains the same. Stay curious.
Event admin
JacobPark
Update this event",,57.15,1st release,,,,,,,https://images.ra.co/297016afac1c5737aac9df73b52fbeb2c6c4c090.jpg,,,,
587,Into the Deep (DVS1 x RE/FORM present),,,57,General Admission - Tier 2,,,,,,,https://images.ra.co/01ac1c5ae52a8656e4ad9d5304c0b4d6b6d54a43.png,,,,
588,Techfest Breakfast - Stacks & Tracks,"Stacks and Tracks returns for Memorial Day Weekend 2026 with a community-first daytime breakfast party!

Built as a counterbalance to the late-night chaos, this is a space for good food, thoughtful music, and real connection. Expect a carefully curated daytime soundtrack spanning house, techno, and adjacent sounds from friends and collaborators.

This is a true labor of love: accessible, intentional, and for the people. All proceeds will be donated to support Underground Music Academy

Come as you are. Eat breakfast. Keep the weekend going.

<3 Stacks and Tracks",,11.45,Early bird,,,,21+,,Reti Set,https://images.ra.co/3b6da55c003befb5686abae5ace246b04e8a8cd5.jpg,,,,
589,Anthology,,,75,General Admission - Tier 4,,,,,,,https://images.ra.co/169624f100296f44c1aeb626757dfce3eee3dde8.png,,,,
590,The Bunker (I.T. presents),,,80,3rd release,,,,,,,https://images.ra.co/e8d85c08e9e5a7fd90491f825d672503b8eaec8a.jpg,,,,
591,Lot Mass,,,34.3,3rd release,,,,,,,https://images.ra.co/027bf68bc7cafb7ffe27c6f2a276b0ea7418f937.jpg,,,,
592,15 Years of Visionquest,,,68.55,3rd release,,,,,,,https://images.ra.co/43e3e1c73d4b6eaa9fa04fee261ae05e98d9ff2e.jpg,,,,
593,CODA: The Closing Party,,,28.55,1st release,,,,,,,https://images.ra.co/957ba89381018a7abb85950bed2fb5ee784b1dcf.jpg,,,,
594,Movement Day 1,,https://movementfestival.com/,200,,,,,,,,,,,,
595,Movement Day 2,,https://movementfestival.com/tickets,200,,,,,,,,,,,,
596,Movement Day 3,,https://movementfestival.com/,200,,,,,,,,,,,,
597,The Hood Needs House,,https://www.axs.com/events/1345523/the-hood-needs-house-tickets,45,Early bird,,,,,,,,,,,
709,Deep Detroit #16,"DEEP DETROIT #16
One of Movement weekend most beloved events returns
This year we finally bring to you
DJ Kemit
Room 131 aka Jon Dixon & Marquis Johnson (LIVE)
Yasmeenah
& Kai Alce

After being cancelled due to covid in 2020 NDATL/ Deep Detroit bring you this exclusive line up with the addition of the glorious Yasmeenah

As usual Deep Detroit will be presenting the best in whats DEEP & what's TECHNO
NDATL Special Edition 2026 12"" + a few other treats you don't want to miss!

Also againsounds by Karlala Soundsystem NYC",,40.05,General admission,,,,21+,,,https://images.ra.co/f7c3922ab5b7603b3262b1c351bc534b43f35599.png,,,,
724,ReSolute goes Detroit (Daytime),"Detroit!!! We’re returning for one of our staple events. So yes, get ready for a daytime open-air ReSolute affair you won’t want to miss. See you very soon.",,43.8,3rd release,,,,21+,,,https://images.ra.co/a233d9afe28fba8a20bb5bc19680f3f3a207ddfa.jpg,,,,
725,D-LiFE 10,"This May D-LiFE celebrates over a decade of Eastcoast Underground and Vizual Records collaborations at MotorCity Wine, Detroit. This staple underground house music party during Memorial Day Weekend promises a special celebration for D-LiFE 10!! 

What to expect:
- 12.5 hours of house & techno
- 100% exclusive lineup
- 2-area day-to-night party
- Sunny dance vibes on the patio
- A beautiful sunset
- “Church” inside until late
- A world-class wine bar
- Beer, cider, sake, sangria slushies
- Absolutely incredible sound
- A food truck
- 420 friendly patio",,62.85,Final release,,,outdoor,,,,https://images.ra.co/eb9e1a5116ac04340cc4e910e50600ff5043daf8.jpg,,,,
726,Moods BBQ,"MOODS BBQ (Movement Weekend) ‚Äî Trail Conditions + Weather Advisory
ATTN: HIKERS, NEIGHBORS, DAY TRIPPERS, AND SEASONAL VISITORS:

THIS IS A JOINT BULLETIN FROM THE MOODS TRAIL SERVICE (MTS) AND THE NATIONAL OCEANIC & MOODSPHERIC ADMINISTRATION (NOMA).

A persistent high-pressure system of dancing is expected to move into Detroit during Movement weekend, bringing sustained joy, laughter, and reunion hugs.

PREPAREDNESS IS KEY
If you plan on enjoying the new Moods Trail on May 22, 2026‚Äîa scenic loop through sweat, shade, and soft-serious joy that appears briefly each year only to disappear back into legend:

Please have your valid entry documents ready for inspection at the trailhead. Passports, Real IDs, and Permission Slips to Groove are all accepted. As a gentle reminder: bad attitudes and egos must be secured in a bear- or twink-proof container before crossing into protected land. If you are unable or unwilling to perform basic trail functions‚Äîincluding dancing, hydrating, and sharing‚Äîplease notify the nearest Moods Ranger. We‚Äôll gladly reroute you to a quieter outlook, a different trailhead, or a clout cookout in the region.

Moods Rangers also recommend the following items for your hike:

Comfy hiking clothes to wear
Water bottles & drinks to share
Small personal bags
Lawn chairs
Ear plugs
Lawn Blankets

FORECAST & CONDITIONS
Time window: 2p-8p
Heat index: hydration advisory expected; i.e. ‚Äúyou should probably drink water‚Äù
Visibility: sunglasses recommended
Terrain: open-air among local flora and fauna
Wildlife advisory: do not feed the drama (it becomes dependent)
Bear advisory: please report any bear sightings to Moods Ranger Daniel immediately

As the system settles, the trail will gradually guide all travelers toward the final landmark:

THE CLEARING (Summit Reward)
At the end of your route, you‚Äôll arrive at a brand new location where [REDACTED] will be serving food to those who complete the hike. Expect smoke, salt, a plate in hand, and the kind of satisfaction that makes you stay longer than planned.

The following Moods Rangers will be on-site to provide your summit with sound:

Niyah West b2b Mira Mira
John Collins b2b Michael S.
Santiago Salazar b2b Sugar

If you attempt to visit past trail locations, you will be met with only the sounds of local birds and fauna.

For more info, consult the visitor guide below or ask a Moods Ranger stationed along the way.

Thank you for visiting. We hope you enjoy your time on the Moods Trail.",,45.7,General admission,,TRUE,outdoor,unknown,,,https://images.ra.co/fe8bd8d96a38e5e75ee0f6e1e09527a9c67ca9ab.png,,,,
727,Detroit Love - Official Movement Afterparty,,https://wl.eventim.us/event/Detroit-Love-Official-Movement-Afterparty/683452?afflky=PaxahauNew,60,,,,,,,,https://images.ra.co/9c9f4079e9efe05d2fb94d625569aef253fdb1a6.png,,,,
728,Excursions: Detroit 2026,,,30,,,,,,,,https://images.ra.co/072cdcc2a30fa10362cd342719cf87cebf39844a.jpg,,,,
729,Where Are My Keys - Detroit,,,67.1,GA 3rd release,,,,,,,https://images.ra.co/06a1e332086c51c93a64d88bc373bab9d1cbb3de.jpg,,,,
730,On The One - A Skeez Backyard BBQ Bash,,,28.55,2nd release,,,,,,,https://images.ra.co/676ef1517a5028614c31fcb75b07aea3a2def4ab.png,,,,
1138,KARDINUL,"For those of you who are looking for the DIY spirit, to get outside the confines of commercialism, and for a truly liberating warehouse dance experience, you have come to the right place. KARDINUL is teaming up with Vault313 to bring you two stages of raw, underground techno music on two world class sound systems. Start the weekend off right with a massive lineup of innovators in the genre, at one of Detroit’s coolest new dance venues.

Soud Systems

Main stage
provide by NEWSOUND: 44 boxes of NEXO alpha in a 4 point config

Side stage
provided by Pendulum Acoustics: Turbo sound",,34.3,2nd release,,,,21+,,,https://images.ra.co/6bb0b74c18f6eb2fb2d5832a11d5d953cb505af9.jpg,,,,
1139,Brooklyn Sway x Snack Time present Mumbo Jumbo (Live & DJ Sets),"Brooklyn Sway and Snack Time are combining forces for a family affair off-Movement Party at the wonderful and cozy Pocket Change in downtown Detroit.

This Saturday daytime party starts at 11am, features two stages (indoor bar, outdoor rooftop) and is stacked with some our favorite talent across NYC, Detroit, Chicago, and beyond.

Featuring 3 live sets alongside vinyl heavy dj sets, this is the perfect way to kick-off your Movement Festival!

The venue also features an amazing kitchen on the ground floor (Freds) so brunch is recommended to keep you energized for the long day and weekend ahead!

11am-8pm

Space is limited to be sure to grab your tickets ahead of time",,34.3,1st release,,,,,,"DeWinter, Dana",https://images.ra.co/929470909c44c9a50e35fef3706c444182a9fe6d.jpg,,,,
1140,TOASTED,,,38,3rd release,,,,,,,,,,,
1141,Excursions presents: Day to Moonlight,,,22.85,1st release,,,,,,,https://images.ra.co/df9f91b199715a7a141873ac8fe87eaae403ea92.jpg,,,,
1215,Low Visibility x Apex Fundamentals present Convergence,"Low Visibility and Apex Fundamentals present Convergence

Featuring artists from across the US ~ California, Chicago, Detroit, Minneapolis, Madison, and NYC ~ all coming together to create a 12 hour event with 2 stages bringing different styles of Techno, Electro, and House during Movement weekend on Sunday 5/24/26

INSIDE STAGE:
Clarisa Kimskii (NYC / Rotterdam)
Father Dukes (Detroit)
Beige (Detroit)
Gustav Brovold [LIVE] (Detroit)
Lauryn Lesley (Minneapolis)
Kitty Spit (Madison)
Tekk Nikk (Minneapolis)
Kobe Dupree (Chicago)

OUTSIDE STAGE:
Evelyn (NYC)
1Morning (LA)
Faited (Oakland)
Fractal Drip (Oakland)
Amandroid (Oakland)
D.Untethered (Minneapolis)
Spacey Lacey (Chicago)

Lighting and spatial transformation by Matilda (Detroit)

PARIS BAR DETROIT
3pm – 3am
21+

Re-entry allowed.
Free water and ear plugs will be available. We will have staff/security on-site if you need help with anything. Additional hospitality and accessibility info TBA.

Food will be open until 3am at Holy Bowly (next door and serves vegan food, breakfast food, bowls, burgers and other food)

If you can't afford a ticket, please reach out to us and we will take care of you.

This is a safe space, be kind to yourself and respect the people around you.",,35.03,1st release,,,,,,,https://images.ra.co/363282ed145b40e34839274c808083fb69bd4f05.jpg,,,,
1218,DETROIT DJ'S -VS- EVERYBODY (Movement Weekend),,,40,1st release,,,,,,Jason Staten,https://images.ra.co/4d580704398adbcab379c9a90e1b941c19fc43b5.png,,,,
1222,Paradigm,,,35,1st release,,,,,,,https://images.ra.co/d8779164909d3fcf04eebda72d3c510425a6f04c.png,,,,
1317,Official Movement Opening Party // Speedy J // Drumcell // DJ Hyperactive,"When it comes to raw, uncompromising techno, few names carry the weight of Speedy J. A true pioneer of the genre, the Dutch producer and DJ has been shaping underground electronic music since the early ’90s, earning a reputation for powerful, immersive sets that blur the line between classic Detroit influence and cutting-edge sound design.

On Movement Electronic Music Festival weekend, Speedy J brings his signature intensity to the Movement Official Opening Party at Lincoln Factory 2026 on May 22nd. Expect a rare opportunity to experience one of techno’s most respected innovators as he sets the tone for the weekend in Detroit.",,36.55,1st release,,,,,,,https://images.ra.co/f49ca3f4e27be66c08269be6a792059747d7041c.png,,,,
1380,Endzeit Detroit,"Endzeit is back in Detroit for a second year, returning to the creative home that shaped our project since its inception. In Detroit, techno emerged amidst industrial decline and automation as a portal toward possible futures: music that can be mechanical, physical, and emotional, using machine rhythms to induce hypnosis and transcendence. That legacy draws us back each year, a pilgrimage for those in communion with sound.

On May 22, Endzeit brings returning favorites, first-time guests, and Detroit debuts to Detroit institution Marble Bar, home to an exceptional soundsystem and a patio perfect for dancing past dawn.",,35,1st release,,,,,,,https://images.ra.co/09e54b62d6ef1f9aac0968feef437520bf4a777f.png,,,,
1381,Elixir 2026,"We're backkkkk with the 7th installment of ______
An annual outdoor day party from Clave House and Kajunga

Sunday May 24 2026
noon to 9pm

We've got you covered rain or shine
SYOTDF",,20,1st release,,TRUE,Outdoor,21+,,,https://images.ra.co/d6b0a0522f0202919003fb5b3735fcfc3f7f94e1.jpg,,,,
1382,DJ Bone presents: FURTHER x Homeless Homies x Paxahau,,,,,,,,,,,https://images.ra.co/1d1902a2386ef3a62195eaac50f6e7c371f26ccf.jpg,,,,
1389,Hekate + We Are Not Alone - Official Movement Afterparty,,https://www.prekindle.com/promo/id/-2852852648459070952,65,,,,,,,,https://images.ra.co/e637424ead738522ab2d31a9f1ddc3446cea0931.jpg,,,,
1390,Techno in the Expo + Richie Hawtin MINUS+ - Official Movement Afterparty,,,,,,,,,,,https://images.ra.co/328e336141908da5078848fa17f4a960d0a1f803.jpg,,,,
1391,Official Movement Closing Party,,,,,,,,,,,https://images.ra.co/7591cc05e22e1ed3aa8cd61507999bd5fc4de38e.jpg,,,,
1446,Art of Techno (US) Detroit Edition,"Art Of Techno (US) is a grassroots movement dedicated to bringing cutting-edge music and culture to the forefront. Showcasing top-tier local, regional, and international talent, each event delivers a powerful blend of driving techno and forward-thinking underground music.

While the main room focuses on techno, a second room often features other genres such as house and drum & bass, keeping the classic multi-room underground vibe alive.

With a focus on community, creativity, and the raw energy of the underground, Art Of Techno creates an immersive experience where artists and dancers come together to celebrate the spirit of electronic music.",,22.85,1st release,,,,21+,,"JR Mac, Jade Butterfly, RityLE, The Chancellor, Afruzi",https://images.ra.co/a1af4d588a23a88470fe1bfc5cc1c52b2156d10e.png,,,,
1456,Soul Clap's House of EFUNK DETROIT Day 1,,,70,$70 Presale,,,,,,,https://images.ra.co/3574307dd65bcca775d90ec3aa5396f2481a0643.png,,,,
1458,DRUNKBRUNCH 2026,"Get ready for Detroit’s biggest brunch party as we celebrate 14 years of bottomless drinks, amazing food, and the hottest DJs! Whether you're here for the non-stop mimosas & Bloody Marys, the epic beats, or the delicious brunch spread, DRUNKBRUNCH 2026 is THE place to be this Memorial Day weekend!

__ MIMOSA & BLOODY MARY PACKAGE THAT DOESN’T STOP!
(Well… until 2 PM __)

__ __ DJ LINEUP __

OUTSIDE
__ KAI ALCE' | RICK WADE | BRUCE BAILEY | PLAYERS CLUB

INSIDE
__ Thomas Cox B2B Big Cashew | Discreet Disco | Tom T | Lynda Carter B2B Rebecca Goldberg

___ BRUNCH MENU INCLUDES:
_ Waffles
_ Fried Chicken Wings
_ Hash Browns
_ Assorted Meats
_ Eggs
_ Shrimp & Grits
_ Fresh Fruit

__ TICKET PRICING
__ $60– ENTRY + BRUNCH + BOTTOMLESS MIMOSAS/BLOODY MARY
__ $35 – ENTRY + BRUNCH ONLY
__ $35 – ENTRY + BOTTOMLESS MIMOSAS/BLOODY MARY
__ $20 – ENTRY ONLY
__ $300 – OUTDOOR BOOTH + 4 BRUNCH/MIMOSA PACKAGE TICKETS
__ $250– INDOOR BOOTH + 4 BRUNCH/MIMOSA PACKAGE TICKETS
__ $150– OUTDOOR TABLE + 2 BRUNCH/MIMOSA PACKAGE TICKETS

__ IMPORTANT: The Mimosa & Bloody Mary Package ends at 2 PM!

__ TEXT ""DRUNKBRUNCH"" TO 313-452-0816 for updates & large party reservations!

___ LIMITED TICKETS AVAILABLE – RSVP NOW!",https://www.eventbrite.com/e/14th-annual-drunkbrunch-2026-tickets-1985282358978?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=cp&aff=ebdsshcopyurl,25,bottomless drinks & food extra,,TRUE,both,21+,,,https://images.ra.co/09ca5c7ca64a6972faf61d5091338fb97f901009.jpg,,,,
1474,HOUSE IS HOME,"Most say that House was born in a Warehouse in Chicago.

Some say it's soul came from a Garage in New York.

Well we built a thing in a Lounge,

because House also came from Heaven in Detroit.

And you can catch Our House Rockin' Steady to Disco,

and Dancin' in the D.

And Our House will turn the Beat Down,

to raise our hands in glory to the Godmother of us all.

But we are, you see, not the creators.

And we are not so selfish,

because once you enter Our Home,

it then becomes Our House and Our Home.

And then you will feel and understand why,

House is Home.",,28.55,3rd release,,,,,,,https://images.ra.co/4375346b11ddced3d7db8d31dcf19aa27b1623e1.png,,,,
1520,"Brunch, Beats and Brews","Lagerhaus#5 in Eastern Market welcomes you to get your brews and brunch on while vibing to some amazing live DJs. Patio seating and open-air environment, free parking, free entry, special brunch menu by DEUTSCHTROIT, Mimosas, craft brews, bottles etc.
Saturday 11am - 10pm
Sunday 12pm - 7pm

1529 Adelaide st
Detroit, MI",,0,,TRUE,TRUE,outdoor,18+,,,https://images.ra.co/4429f690acfd09ac3eb05f5e7ee5dd12e04cfe5d.png,,,,
1545,Barge VIII Boat Party,"SLUR RECORDS PRESENTS: THE BARGE VIII
Year eight. No gimmicks. No fluff.
Just sound, water, and the right people.

We’re back on the river for another full-day session—stripped down and dialed in. Expect a proper system, a locked-in crowd, and that energy you only get when the city meets the water.

Lineup: TBA

Docking Info:
Check-in: 12:00 PM
Boarding: 12:30 PM (sharp)
Return/Docking: 4:00 PM

Departure Location: Rivard Plaza
1340 Atwater St, Detroit, MI

Right down the street from Hart Plaza (Movement Festival grounds). Easy walking distance.

Please arrive early—boarding will close promptly and the boat will depart on schedule. No late entry once we leave the dock.

This isn’t a festival.
It’s a floating function.

Limited capacity. Moves quick every year.",,57.45,1st release,,,outdoor,18+,,,https://images.ra.co/0ceb119884dc1188490e9a89eb724ee62d94d427.jpg,,,,
1551,Mizz Softee x The Pick Me Up,,,22.15,Early bird,,,,,,,https://images.ra.co/181b6c4397fc94946faa5e55769cd6b15ea1974b.jpg,,,,
1556,DROP//PROTOCOL,"DROP // PROTOCOL
May 22nd // 7PM–3AM
Corktown Tavern // 1716 Michigan Ave
A new system boots online.
Slashsound Records, Detroit Modular and Freak FM initiate DROP // PROTOCOL
Two levels.
Two operational zones.
Acid // Hardcore // Breakcore // Techno // Electro
7PM–3AM
LIVE HARDWARE OPERATIONS — UPSTAIRS
ACID / HARDCORE SELECTORS — DOWNSTAIRS
Tickets are live on Resident Advisor.
Early bird tickets available now.
Link in bio.
Systems online.
Signal active.
UPSTAIRS // MECH BAY
The ALL LIVE stage. Hardware performers and modular operators running live sets on modular systems, drum machines, and analog gear. Acid, techno, electro, and hardcore transmitted directly from live circuitry.
LIVE HARDWARE OPERATIONS
easygoingtech
Josef Anders
Komprezzor
Kuuma
Nels the Operator
OMO
Pretty Positive
RETCON
robots4Dancing
VJ Sidewinder
DOWNSTAIRS // HANGAR
Acid, hardcore, and electro selectors running sets through the lower deck all night.
SELECTORS
Brent Shay
joycxi
madeofants
Olly Junglist
RETCON
SeanniB
TYP4",,11.5,Early bird,,,,,,,https://images.ra.co/780e17b8cbde1d0e5d5ca37f7224900020347ab4.jpg,,,,
